ticker,epic,instrument_name,currency,market_status,expiry,instrument_type,search_term
KNDRPZ,KC.D.KNDRPZ.CASH.IP,Sundae Bar PLC,N/A,TRADEABLE,-,SHARES,SU
SUNWUS,UD.D.SUNWUS.CASH.IP,Sunworks Inc,N/A,OFFLINE,-,SHARES,SU
SUY1VFH,EB.D.SUY1VFH.CASH.IP,Suominen Oyj,N/A,TRADEABLE,-,SHARES,SU
SPCBUS,UD.D.SPCBUS.CASH.IP,SuperCom Ltd,N/A,TRADEABLE,-,SHARES,SU
SGPLN,KA.D.SGPLN.CASH.IP,Superdry Plc,N/A,CLOSED,-,SHARES,SU
SUPLN,KC.D.SUPLN.CASH.IP,Supreme PLC,N/A,TRADEABLE,-,SHARES,SU
SVITZRDC,EP.D.SVITZRDC.CASH.IP,Svitzer A/S,N/A,OFFLINE,-,SHARES,SV
SVOLBSS,EH.D.SVOLBSS.CASH.IP,Svolder AB,N/A,TRADEABLE,-,SHARES,SV
SVOLASS,EH.D.SVOLASS.CASH.IP,Svolder AB,N/A,OFFLINE,-,SHARES,SV
HOVDSS,EH.D.HOVDSS.CASH.IP,Hovding Sverige AB,N/A,CLOSED,-,SHARES,SV
SIVBUS,UD.D.SIVBUS.CASH.IP,SVB Financial Group,N/A,CLOSED,-,SHARES,SV
MAXFSS,EH.D.MAXFSS.CASH.IP,MaxFastigheter i Sverige AB (publ),N/A,OFFLINE,-,SHARES,SV
SVFAUUS,UD.D.SVFAUUS.CASH.IP,SVF Investment Corporation,N/A,CLOSED,-,SHARES,SV
SVMLN,KC.D.SVMLN.CASH.IP,SVM UK Emerging Fund PLC,N/A,OFFLINE,-,SHARES,SV
SVEDBSS,EH.D.SVEDBSS.CASH.IP,Svedbergs i Dalstorp AB (publ),N/A,TRADEABLE,-,SHARES,SV
SHBBSS,EH.D.SHBBSS.CASH.IP,Svenska Handelsbanken AB (publ),N/A,TRADEABLE,-,SHARES,SV
XACTSBXSS,EH.D.XACTSBXSS.CASH.IP,XACT Sverige UCITS ETF,N/A,TRADEABLE,-,SHARES,SV
BRIIM,EF.D.BRIIM.CASH.IP,Brioschi Sviluppo Immobiliare SpA,N/A,TRADEABLE,-,SHARES,SV
SCAASS,EH.D.SCAASS.CASH.IP,Svenska Cellulosa Aktiebolaget SCA (publ),N/A,TRADEABLE,-,SHARES,SV
XACTSMACS,EH.D.XACTSMACS.CASH.IP,XACT Svenska Smabolag UCITS ETF,N/A,TRADEABLE,-,SHARES,SV
SWCN,KN.D.SWCN.CASH.IP,Sierra Wireless Inc (Canada),N/A,OFFLINE,-,SHARES,SW
SWUS,SG.D.SWUS.CASH.IP,Smurfit WestRock PLC - US (24 Hours),N/A,TRADEABLE,-,SHARES,SW
SWECBSS,EH.D.SWECBSS.CASH.IP,Sweco AB,N/A,TRADEABLE,-,SHARES,SW
SWOLBSS,EH.D.SWOLBSS.CASH.IP,Swedol AB,N/A,OFFLINE,-,SHARES,SW
SREN,EJ.D.SREN.CASH.IP,Swiss Re AG,N/A,TRADEABLE,-,SHARES,SW
SWCHUS,SG.D.SWCHUS.CASH.IP,Switch Inc,N/A,CLOSED,-,SHARES,SW
STXSWXSJ,AR.D.STXSWXSJ.CASH.IP,Satrix SWIX,N/A,OFFLINE,-,SHARES,SW
SWMRUS,UD.D.SWMRUS.CASH.IP,Swarmer Inc,N/A,TRADEABLE,-,SHARES,SW
SWEDA,EH.D.SWEDA.CASH.IP,Swedbank AB,N/A,TRADEABLE,-,SHARES,SW
SECARESS,EH.D.SECARESS.CASH.IP,Swedencare AB (publ),N/A,TRADEABLE,-,SHARES,SW
SW1AU,AB.D.SW1AU.CASH.IP,Swift TV Ltd,N/A,EDITS_ONLY,-,SHARES,SW
SCM,EJ.D.SCM.CASH.IP,Swisscom AG,N/A,TRADEABLE,-,SHARES,SW
SWP,EC.D.SWP.CASH.IP,Sword Group,N/A,TRADEABLE,-,SHARES,SW
GENISS,EH.D.GENISS.CASH.IP,Generic Sweden AB,N/A,TRADEABLE,-,SHARES,SW
PCELLSS,EH.D.PCELLSS.CASH.IP,PowerCell Sweden AB,N/A,TRADEABLE,-,SHARES,SW
UHRN,EJ.D.UHRN.CASH.IP,Swatch Group AG,N/A,TRADEABLE,-,SHARES,SW
