ticker_in_epic,epic,instrument_name,currency,market_status,search_term
CPRT,UA.D.CPRT.CASH.IP,Copart Inc (24 Hours),N/A,TRADEABLE,C Inc
CRMLUS,UA.D.CRMLUS.CASH.IP,Critical Metals Corp (24 Hours),N/A,TRADEABLE,M Corp
CRWDUS,UA.D.CRWDUS.CASH.IP,CrowdStrike Holdings Inc (24 Hours),N/A,TRADEABLE,C Holdings
CRWVUS,UA.D.CRWVUS.CASH.IP,Coreweave Inc (24 Hours),N/A,TRADEABLE,C Inc
CSCO,UA.D.CSCO.CASH.IP,Cisco Systems Inc (24 Hours),N/A,TRADEABLE,Systems
CSGPUS,UA.D.CSGPUS.CASH.IP,CoStar Group Inc (24 Hours),N/A,TRADEABLE,C Group
CTAS,UA.D.CTAS.CASH.IP,Cintas Corp (24 Hours),N/A,TRADEABLE,C Corp
CTSH,UA.D.CTSH.CASH.IP,Cognizant Technology Solutions Corp (24 Hours),N/A,TRADEABLE,T Corp
DDOGUS,UB.D.DDOGUS.CASH.IP,Datadog Inc (24 Hours),N/A,TRADEABLE,D Inc
DLTR,UB.D.DLTR.CASH.IP,Dollar Tree Inc (24 Hours),N/A,TRADEABLE,D Inc
DNJRUS,UB.D.DNJRUS.CASH.IP,Bit Digital Inc (24 Hours),N/A,TRADEABLE,D Inc
DOCUUS,UB.D.DOCUUS.CASH.IP,DocuSign Inc (24 Hours),N/A,TRADEABLE,D Inc
DUOLUS,UB.D.DUOLUS.CASH.IP,Duolingo Inc (24 Hours),N/A,TRADEABLE,D Inc
DWACUS,UB.D.DWACUS.CASH.IP,Trump Media & Technology Group Corp (24 Hours),N/A,TRADEABLE,G Corp
DXCM,UB.D.DXCM.CASH.IP,DexCom Inc (24 Hours),N/A,TRADEABLE,D Inc
EBAY,UB.D.EBAY.CASH.IP,eBay Inc (24 Hours),N/A,TRADEABLE,E Inc
ENPHUS,UB.D.ENPHUS.CASH.IP,Enphase Energy Inc (24 Hours),N/A,TRADEABLE,E Inc
ENVXUS,UB.D.ENVXUS.CASH.IP,Enovix Corporation (24 Hours),N/A,TRADEABLE,E Corp
ERTS,UB.D.ERTS.CASH.IP,Electronic Arts Inc (24 Hours),N/A,TRADEABLE,E Inc
ETORUS,UB.D.ETORUS.CASH.IP,Etoro Group Ltd (24 Hours),N/A,TRADEABLE,E Group
EXPE,UB.D.EXPE.CASH.IP,Expedia Group Inc (24 Hours),N/A,TRADEABLE,E Group
FB,UB.D.FB.CASH.IP,Meta Platforms Inc (24 Hours),N/A,TRADEABLE,A Inc
FCEL,UB.D.FCEL.CASH.IP,FuelCell Energy Inc (24 Hours),N/A,TRADEABLE,Energy
FFIV,UB.D.FFIV.CASH.IP,F5 Inc (24 Hours),N/A,TRADEABLE,A Inc
FHLUS,UB.D.FHLUS.CASH.IP,Futu Holdings Limited (24 Hours),N/A,TRADEABLE,F Holdings
FIGRUS,UB.D.FIGRUS.CASH.IP,Figure Technology Solutions Inc (24 Hours),N/A,TRADEABLE,Solutions
FISV,UB.D.FISV.CASH.IP,Fiserv Inc (24 Hours),N/A,TRADEABLE,F Inc
FITB,UB.D.FITB.CASH.IP,Fifth Third Bancorp (24 Hours),N/A,TRADEABLE,Bancorp
FOXCAUS,UB.D.FOXCAUS.CASH.IP,Fox Corporation - A (24 Hours),N/A,TRADEABLE,F Corp
FOXCUS,UB.D.FOXCUS.CASH.IP,Fox Corporation - B (24 Hours),N/A,TRADEABLE,B Corp
FSLR,UB.D.FSLR.CASH.IP,First Solar Inc (24 Hours),N/A,TRADEABLE,F Inc
FTNT,UB.D.FTNT.CASH.IP,Fortinet Inc (24 Hours),N/A,TRADEABLE,F Inc
GEHCVUS,UB.D.GEHCVUS.CASH.IP,GE HealthCare Technologies Inc (24 Hours),N/A,TRADEABLE,G Technologies
GEMIUS,UB.D.GEMIUS.CASH.IP,Gemini Inc (24 Hours),N/A,TRADEABLE,G Inc
GLXYUS,UB.D.GLXYUS.CASH.IP,Galaxy Digital Inc - US (24 Hours),N/A,TRADEABLE,U Inc
GPROUS,UB.D.GPROUS.CASH.IP,GoPro Inc (24 Hours),N/A,TRADEABLE,G Inc
GRMN,UB.D.GRMN.CASH.IP,Garmin Ltd (24 Hours),N/A,TRADEABLE,A Ltd
HAS,UB.D.HAS.CASH.IP,Hasbro Inc (24 Hours),N/A,TRADEABLE,H Inc
HBAN,UB.D.HBAN.CASH.IP,Huntington Bancshares Inc (24 Hours),N/A,TRADEABLE,Bancshares
HOLX,UB.D.HOLX.CASH.IP,Hologic Inc (24 Hours),N/A,OFFLINE,H Inc
HSGXUS,UB.D.HSGXUS.CASH.IP,Ocugen Inc (24 Hours),N/A,TRADEABLE,O Inc
